58,83,14,61,47,54,33,83,99,61,43,116,62,35,109
48,124,12,62,31,105,28,96,140,66,69,88,54,43,102
54,80,19,62,16,107,54,76,120,63,36,91,35,69,68
69,60,29,72,17,65,29,68,40,69,42,54,92,52,89
60,67,17,93,55,30,71,89,106,89,44,53,49,62,77
59,95,24,77,28,100,62,94,114,31,33,66,38,49,92
57,60,19,80,15,97,29,82,161,64,34,150,58,50,102
74,103,16,76,34,60,31,101,183,67,34,47,56,33,50
61,85,28,79,16,88,29,80,136,83,54,71,57,42,97
78,82,39,85,13,50,31,74,155,67,31,103,81,100,91
91,105,20,73,13,40,38,68,136,45,78,55,79,101,44
98,83,19,76,33,39,39,115,125,52,26,57,50,75,44
99,78,24,61,33,77,43,55,146,47,78,53,36,44,41
76,85,19,93,39,45,86.52660939644815,147,148,44,43,53,41,36,40
65,84,13,85,35,48,102,84,120,41,26,44,96,36,40
62,89,13,69,48,43,144,62,179,40,30,49,60,31,39
39,81,22,70,41,34,260,52,152,85,37,150,80,38,94
29,107,34,75,60,40,55,56,87,51,33,104,52,29,108
23,84,45,81,33,55,52,154,163,54,35,236,46,34,132
49,59,29,73,30,27,34,112,164,38,32,114,112,31,66
43,68,21,70,26,69,45,80,152,39,26,173,112,33,129
61,66,18,70,37,42,56,61,132,67,34,36,63,80,106
55,74,16,71,29,31,51,88,168,105,42,84,109,113,126
48,67,15,71,39,51,63,58,128,97,33,105,57,84,66
50,69,26,95,22,34,34,66,144,54,46,82,128,68,59
55,61,39,75,36,78,37,72,84,26,26,95,101,72,156
59,47,33,77,48,73,31,60,127,35,29,96,100,111,89
63,65,28,89,50,62,31,72,157,26,36,47,83,135,123
42,83,17,94,31,53,33,60,143,19,54,4,66,64,122
42,47,18,77,39,37,38,57,68,22,30,8,115,51,74
47,45,12,84,77,75,37,87,215,21,37,84.3737392671016,69,31,105
51,55,13,97,27,56,34,113,158,34,46,91.59157889317967,90,25,73
32,54,17,78,42.41258019616366,76,38,53,254,40,73,103.10068043067983,79,84,61
31,70,16,81,43.63233850064178,36,60,72,173,64,37,234,100,57,82
27,81,12,78,39.46207745203641,40,46,51,30,40,43,105.51393113126966,64,49,106
29,63,18,78,39.11629484627968,34,34,61,55,62,32,106.39674116283736,55,94,49
30,64,24,78,40.31354152219508,44,43,89,44,46,40,161,59,132,82
37,122,39,91,38.67685129029761,90,43,82,54,24,45,74,105,64,139
40,95,37,90,28,42,36,78,99,20,39,52,45,45,85
60,80,31,76,30,56,54,37,83,18,40,75,40,64,110
51,102,26,90,40,46,57,66,76,50,37,58,41,31,155
44,58,44,104,41,47,45,72,67,32,84,111,42,63,133
29,52,45,82,29,44,85,54,61,29,54,71,46,54,94
33,102,27,78,40,45,63,48,48,35,54,96,109,27,75
38,105,30,78,34,110,25,66,92,33,43,105,53,48,132
37,57,28,88,41,109,54,40,52,36,35,108,116,52,115
39,51,19,81,20,77,27,43,54,53,79,96,85,49,55
48,49,24,75,20,74,29,39,33,42,53,130,111,42,65
34,50,24,81,19,70,32,48,32,28,54,180,151,62,68
45,80,18,89,27,69,51,37,45,27,59,113,122,48,126
42,103,22,74,39,55,33,41,37,21,33,117,99,78,110
40,43,41,73,26,65,36,44,42,29,22,48,89,44,115
38,46,28,73,37,67,33,56,43,26,26,122,104,44,57
46,39,44,82,33,82,34,45,37,46,28,74,106,49,73
37,49,41,78,22,41,42,37,38,34,38,85,63,28,99
42,58,37,100,23,49,39,25,52,53,34,47,125,50,124
39,47,24,81,20,38,26,33,59,26,60,67,110,93,110
38,69,44,74,29,79,30,33,60,36,55,168,54,76,74
52,54,31,71,21,53,41,69,94,64,49,139,42,38,59
57,74,51,81,27,50,28,56,45,82,32,156,118,71,106
36,97,29,77,22,46,38,46,86,74,41,208,91,138,55
42,111,29,79,23,50,36,46,38,28,27,106,128,65,35
41,123,27,92,24,48,39,48,39,29,68,107,139,88,78
65,62,25,83,29,42,39,46,104,29,36,103,93,58,76
44,68,25,89,35,90,36,49,65,77,47,69,96,76,71
42,51,32,85,40,77,58,50,92,56,72,84,66,69,76
43,46,22,75,49,83,33,53,58,51,36,91,142,56,56
62,135,69,73,40,51,47,65,37,65,78,108,166,70,104
45,139,53,79,29,92,80,47,38,56,42,85,93,63,92
48,102,39,98,39,73,47,53,57,66,53,112,141,61,117
59,62,37,78,34,47,34,50,88,77,57,93,70,69,98
38,67,24,82,38,39,52,49,73,121,30,107,93,44,42
44,143,35,68,29,40,56,52,58,70,28,93,110,32,60
46,143,45,83,29,51,44,62,36,53,38,83,74,31,48
36,62,38,69,39,65,61,73,28,61,32,98,173,26,55
36,58,32,72,22,54,65,54,31,43,35,81,168,31,50
