.032,.0908,.0102,.0274,.0568,.0158,.2324,.5254,.0394,.0446,.06,.029,.1836,.0254,.0246
.0326,.0984,.0102,.0282,.0518,.0128,.2104,.7708,.0376,.044,.0586,.0288,.1778,.0226,.0218
.0318,.0968,.0108,.0286,.0496,.0116,.1906,.8048,.0322,.0448,.0596,.0292,.178,.0206,.077
.0316,.0938,.012,.0288,.0458,.0114,.1826,.7624,.0304,.0436,.1116,.0334,.165,.0186,.1438
.0314,.0922,.0124,.0324,.045,.0136,.1644,.7324,.03,.0444,.0652,.0332,.1638,.0174,.0558
.0308,.0992,.0142,.0452,.0442,.015,.1548,.7774,.0296,.0548,.0598,.0334,.1482,.016,.0616
.0508,.1,.0212,.037,.0428,.0164,.1476,.8084,.0298,.0498,.0592,.032,.149,.0146,.4826
.0312,.099,.0224,.036,.0418,.0168,.1348,.8632,.029,.0446,.061,.0318,.1406,.0144,.121
.0316,.0876,.0228,.037,.0422,.0192,.1272,.9206,.0294,.0482,.0618,.0306,.1552,.0146,.0212
.0344,.0824,.0268,.0334,.0404,.0186,.1054,.8792,.0286,.0464,.0608,.0308,.2316,.0138,.0206
.0324,.082,.024,.0354,.039,.0182,.0976,.8414,.0288,.0476,.0606,.0508,.2508,.013,.02
.0328,.0874,.0208,.034,.0416,.0162,.0916,.753,.0296,.0486,.067,.0528,.2478,.013,.0194
.0326,.0722,.0192,.0338,.039,.0142,.0856,.7232,.0306,.0498,.0626,.0386,.2108,.0126,.0196
.0322,.067,.0184,.033,.0396,.015,.0794,1.34,.0312,.0506,.0642,.035,.2074,.0122,.0198
.0324,.072,.0176,.0356,.077,.0162,.075,1.124,.0312,.0506,.0662,.0368,.237,.0116,.0192
.031,.0612,.0168,.0362,.0572,.0164,.0696,.8846,.0316,.0534,.0692,.0348,.225,.011,.019
.0322,.0846,.0162,.0362,.0494,.0132,.065,.7524,.0322,.0596,.0684,.0332,.2034,.0106,.0188
